date,DJIA,DJIA_return,Nasdaq_Composite_Index,Nasdaq_Composite_Index_return,S_P500,S_P500_return,Nasdaq_100,Nasdaq_100_return,HSI,HSI_return,SH,SH_return,BTC,BTC_return
50th week of 2016,19843.41,1.030272519,5437.16,2.260330761,2258.07,1.437922651,4914.86,2.972161974,22020.75,-0.2090332981,3122.98,-0.04504351613,,
51th week of 2016,19933.81,1.021065215,5462.69,2.245093535,2263.79,1.431762663,4940.02,2.951931369,21574.76,-0.1926825605,3110.15,-0.04110412681,,
52th week of 2016,19762.6,1.038574378,5383.12,2.29306053,2238.83,1.458873608,4863.62,3.014010141,22000.56,-0.2083074249,3103.64,-0.03909280716,,
01th week of 2017,19963.8,1.018029133,5521.06,2.21078561,2276.98,1.417676045,5007.08,2.899003012,22503.01,-0.225984435,3154.32,-0.05453156306,,
02th week of 2017,19885.73,1.025951775,5574.12,2.18022217,2274.64,1.420163191,5059.51,2.858598955,22937.38,-0.2406421309,3112.76,-0.04190814583,,
03th week of 2017,19827.25,1.031927272,5555.33,2.190978754,2271.31,1.423711426,5063.2,2.855786854,22885.91,-0.2389343487,3123.14,-0.04509243902,,
04th week of 2017,20093.78,1.004975171,5660.78,2.131536643,2294.69,1.399016861,5168.06,2.777552892,23360.78,-0.2544050327,3159.17,-0.05598305884,,
05th week of 2017,20071.46,1.007204757,5666.77,2.128226485,2297.42,1.396166134,5161.6,2.782280688,23129.21,-0.2469401246,3140.17,-0.05027116366,,
06th week of 2017,20269.37,0.9876064229,5734.13,2.091478568,2316.1,1.376840378,5226.69,2.735178478,23574.98,-0.2611794368,3196.7,-0.06706603685,,
07th week of 2017,20624.05,0.9534247638,5838.58,2.036173179,2351.16,1.341397438,5324.72,2.666412506,24033.74,-0.2752821658,3202.08,-0.06863351322,,
08th week of 2017,20821.76,0.9348763025,5845.31,2.03267748,2367.34,1.325394747,5343.31,2.653656629,23965.7,-0.2732246502,3253.43,-0.08333358947,,
09th week of 2017,21005.71,0.9179323146,5870.75,2.019535834,2383.12,1.309996979,5373.48,2.633142768,23552.72,-0.2604811674,3218.31,-0.07333041255,,
10th week of 2017,20902.98,0.9273582044,5861.73,2.024182281,2372.6,1.3202394,5385.9,2.624764663,23568.67,-0.2609816337,3212.76,-0.07172960321,,
11th week of 2017,20914.62,0.9262855361,5901,2.00405694,2378.25,1.314727215,5408.76,2.609444679,24309.93,-0.2835158308,3237.45,-0.07880893913,,
12th week of 2017,20596.72,0.9560167833,5828.74,2.041298806,2343.98,1.348569527,5364,2.639563758,24358.27,-0.2849377234,3269.45,-0.08782516937,,
13th week of 2017,20663.22,0.9497217762,5911.74,1.998599397,2362.72,1.329941762,5436.23,2.59120567,24111.59,-0.2776220896,3222.51,-0.07453817056,,
14th week of 2017,20656.1,0.9503938304,5877.81,2.015908987,2355.54,1.337043735,5418.37,2.603042982,24267.3,-0.2822571938,3286.62,-0.09259056417,,
15th week of 2017,20453.25,0.9697373278,5805.15,2.053657528,2328.95,1.363726143,5353.59,2.646640852,24261.66,-0.2820903434,3246.07,-0.08125517934,,
16th week of 2017,20547.76,0.9606774656,5910.52,1.999218343,2348.69,1.343859769,5442.05,2.587365055,24042.02,-0.2755317565,3173.15,-0.06014213006,,
17th week of 2017,20940.51,0.9239039546,6047.61,1.931230685,2384.2,1.308950591,5583.53,2.496465498,24615.13,-0.2923994308,3154.66,-0.05463346288,,
18th week of 2017,21006.94,0.9178200157,6100.76,1.905693717,2399.29,1.294428769,5646.09,2.457723841,24476.35,-0.2883873617,3103.04,-0.03890700732,,
19th week of 2017,20896.61,0.927945729,6121.23,1.895976789,2390.9,1.302480238,5686.81,2.432965054,25156.34,-0.307622651,3083.51,-0.03281974114,,
20th week of 2017,20804.84,0.9364498838,6083.7,1.913841905,2381.73,1.311345115,5651.56,2.454377199,25174.87,-0.3081322764,3090.63,-0.0350478705,,
21th week of 2017,21080.28,0.9111477646,6210.19,1.854492375,2415.82,1.278729376,5788.36,2.372737701,25639.27,-0.3206639659,3110.06,-0.04107637795,,
22th week of 2017,21206.29,0.8997915241,6305.8,1.8112119,2439.07,1.257007794,5881.46,2.319349277,25924.05,-0.3281265852,3105.54,-0.03968069965,,
23th week of 2017,21271.97,0.8939256684,6207.92,1.855536154,2431.77,1.26378317,5741.94,2.40000418,26030.29,-0.3308687687,3158.4,-0.05575291287,,
24th week of 2017,21384.28,0.8839787919,6151.76,1.881604614,2433.15,1.262499229,5681.48,2.436185642,25626.49,-0.3203251791,3123.17,-0.0451016115,,
25th week of 2017,21394.76,0.8830559445,6265.25,1.829406648,2438.3,1.257720543,5803.1,2.364170874,25670.05,-0.3214785324,3157.87,-0.05559443549,,
26th week of 2017,21349.63,0.8870364498,6140.42,1.886926301,2423.41,1.271592508,5646.92,2.457215615,25764.58,-0.3239680212,3192.43,-0.06581820118,,
27th week of 2017,21414.34,0.8813341901,6153.08,1.880986433,2425.18,1.269934603,5656.47,2.451378687,25340.85,-0.3126639398,3217.96,-0.07322962374,,
28th week of 2017,21637.74,0.861910255,6312.47,1.808241465,2459.27,1.238469139,5838.08,2.344013785,26389.23,-0.3399701318,3222.42,-0.07451232304,,
29th week of 2017,21580.07,0.866885974,6387.75,1.775146178,2472.54,1.226455386,5921.52,2.296893365,26706.09,-0.3478011944,3237.98,-0.0789597218,,
30th week of 2017,21830.31,0.8454859322,6374.68,1.780836058,2472.1,1.226851665,5908.92,2.30392356,26979.39,-0.3544079388,3253.24,-0.08328005312,,
31th week of 2017,22092.81,0.8235584337,6351.56,1.790958442,2476.83,1.222599048,5899.9,2.308974728,27562.68,-0.3680701586,3262.08,-0.08576429763,,
32th week of 2017,21858.32,0.8431210633,6256.56,1.83333653,2441.32,1.254927662,5831.53,2.347769796,26883.51,-0.3521054356,3208.54,-0.07050870489,4139.98,15.14162387
33th week of 2017,21674.51,0.8587515935,6216.53,1.851581188,2425.55,1.269588341,5790.91,2.371252532,27047.57,-0.3560353111,3268.72,-0.08762145427,4337.44,14.40678372
34th week of 2017,21813.67,0.8468937139,6265.64,1.829230534,2443.05,1.253330877,5822.53,2.35294451,27848.16,-0.3745482646,3331.52,-0.1048200221,4472.14,13.94273435
35th week of 2017,21987.56,0.8322874389,6435.33,1.754627968,2476.55,1.222850336,5987.9,2.260345029,27953.16,-0.3768976388,3367.12,-0.1142846112,4258.81,14.69123769
36th week of 2017,21797.79,0.8482392022,6360.19,1.787171452,2461.43,1.236504796,5913.37,2.301437252,27668.47,-0.3704863334,3365.24,-0.113789804,3714.95,16.98839823
37th week of 2017,22268.34,0.8091842499,6448.47,1.749014883,2500.23,1.201797435,5988,2.260290581,27807.59,-0.3736357592,3353.62,-0.1107191632,3780,16.67883598
38th week of 2017,22349.59,0.8026071172,6426.92,1.758232559,2502.22,1.200046359,5932.32,2.290891253,27880.53,-0.3752744299,3352.53,-0.1104300334,4378.51,14.26226958
39th week of 2017,22405.09,0.7981418508,6495.96,1.728917666,2519.36,1.18507875,5979.3,2.265034369,27554.3,-0.3678779719,3348.94,-0.1094764313,4423,14.10874972
40th week of 2017,22773.67,0.7690398605,6590.18,1.689902248,2549.33,1.159390899,6064.57,2.21912683,28458.04,-0.3879522272,,#DIV/0!,5869.99,10.38434648
41th week of 2017,22871.72,0.7614560689,6605.8,1.683541736,2553.17,1.156143148,6092.45,2.204395604,28476.43,-0.388347486,3390.52,-0.1203974612,6024.97,10.09150751
42th week of 2017,23328.63,0.7269565337,6629.05,1.674129777,2575.21,1.137689742,6108.82,2.195808683,28487.24,-0.3885795886,3378.65,-0.1173072085,5719.64,10.68360246
43th week of 2017,23434.19,0.719177407,6701.26,1.645314463,2581.07,1.132836382,6213.47,2.141983465,28438.85,-0.3875392289,3416.81,-0.127165397,7357.09,8.083210889
44th week of 2017,23539.19,0.7115087647,6764.44,1.620607175,2587.84,1.127256708,6295.58,2.101004197,28603.61,-0.3910670716,3371.74,-0.1154982294,6245.05,9.700634903
